f-0     (initial-fact)
f-968   (robot 2 4 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-969   (robot 4 4 1 farolas far 3 5 2 far 4 3 3 prof 14)
f-970   (robot 5 3 1 farolas far 3 5 2 far 4 3 3 prof 14)
f-971   (robot 5 5 1 farolas far 3 5 2 far 4 3 3 prof 14)
f-972   (robot 5 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-973   (robot 3 2 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-974   (robot 4 1 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-975   (robot 4 3 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-976   (robot 1 4 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-977   (robot 2 3 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-978   (robot 5 4 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-979   (robot 4 5 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-980   (robot 3 4 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-981   (robot 5 4 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-982   (robot 4 5 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-983   (robot 5 4 1 farolas far 3 5 2 far 4 3 3 prof 14)
f-984   (robot 5 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-985   (robot 4 5 1 farolas far 3 5 2 far 4 3 3 prof 14)
f-986   (robot 1 3 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-987   (robot 2 2 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-988   (robot 5 3 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-989   (robot 4 4 0 farolas far 3 5 2 far 4 3 3 prof 14)
f-990   (robot 5 3 0 farolas far 3 5 2 far 4 3 3 prof 14)
f-991   (robot 5 5 0 farolas far 3 5 2 far 4 3 3 prof 14)
f-992   (robot 5 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-993   (robot 1 4 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-994   (robot 2 3 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-995   (robot 5 4 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-996   (robot 4 5 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-997   (robot 5 4 0 farolas far 3 5 2 far 4 3 3 prof 14)
f-998   (robot 5 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 14)
f-999   (robot 4 5 0 farolas far 3 5 2 far 4 3 3 prof 14)
f-1000  (robot 1 1 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-1001  (robot 1 3 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-1002  (robot 2 3 3 farolas far 3 5 2 far 5 5 2 prof 14)
f-1003  (robot 2 3 2 farolas far 3 5 2 far 5 5 2 prof 14)
f-1004  (robot 2 3 1 farolas far 3 5 2 far 5 5 2 prof 14)
f-1005  (robot 1 1 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-1006  (robot 1 2 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1007  (robot 1 4 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1008  (robot 2 1 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1009  (robot 3 2 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1010  (robot 3 4 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1011  (robot 2 5 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1012  (robot 1 3 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1013  (robot 2 2 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1014  (robot 2 4 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1015  (robot 1 2 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1016  (robot 1 4 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1017  (robot 2 1 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1018  (robot 3 2 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1019  (robot 3 4 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1020  (robot 2 5 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1021  (robot 3 1 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-1022  (robot 4 2 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-1023  (robot 1 5 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-1024  (robot 2 4 1 farolas far 3 5 2 far 4 3 3 prof 14)
f-1025  (robot 1 2 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-1026  (robot 2 1 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-1027  (robot 2 3 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-1028  (robot 1 2 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-1029  (robot 1 3 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1030  (robot 2 2 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1031  (robot 2 4 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1032  (robot 2 1 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-1033  (robot 3 2 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-1034  (robot 1 4 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-1035  (robot 2 5 0 farolas far 3 5 2 far 5 5 2 prof 14)
f-1036  (robot 3 4 1 farolas far 3 5 2 far 4 3 3 prof 14)
f-1037  (robot 1 1 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-1038  (robot 3 1 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-1039  (robot 4 2 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-1040  (robot 2 4 0 farolas far 3 5 2 far 4 3 3 prof 14)
f-1041  (robot 1 2 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-1042  (robot 2 1 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-1043  (robot 3 2 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-1044  (robot 3 4 0 farolas far 3 5 2 far 4 3 3 prof 14)
f-1045  (robot 1 2 3 farolas far 3 5 2 far 5 5 2 prof 14)
f-1046  (robot 1 4 3 farolas far 3 5 2 far 5 5 2 prof 14)
f-1047  (robot 2 1 3 farolas far 3 5 2 far 5 5 2 prof 14)
f-1048  (robot 3 2 3 farolas far 3 5 2 far 5 5 2 prof 14)
f-1049  (robot 4 3 3 farolas far 3 5 2 far 5 5 2 prof 14)
f-1050  (robot 3 4 3 farolas far 3 5 2 far 5 5 2 prof 14)
f-1051  (robot 2 5 3 farolas far 3 5 2 far 5 5 2 prof 14)
f-1052  (robot 1 3 3 farolas far 3 5 2 far 5 5 2 prof 14)
f-1053  (robot 2 2 3 farolas far 3 5 2 far 5 5 2 prof 14)
f-1054  (robot 3 3 3 farolas far 3 5 2 far 5 5 2 prof 14)
f-1055  (robot 2 4 3 farolas far 3 5 2 far 5 5 2 prof 14)
f-1056  (robot 1 2 2 farolas far 3 5 2 far 5 5 2 prof 14)
f-1057  (robot 1 4 2 farolas far 3 5 2 far 5 5 2 prof 14)
f-1058  (robot 2 1 2 farolas far 3 5 2 far 5 5 2 prof 14)
f-1059  (robot 3 2 2 farolas far 3 5 2 far 5 5 2 prof 14)
f-1060  (robot 4 3 2 farolas far 3 5 2 far 5 5 2 prof 14)
f-1061  (robot 3 4 2 farolas far 3 5 2 far 5 5 2 prof 14)
f-1062  (robot 2 5 2 farolas far 3 5 2 far 5 5 2 prof 14)
f-1063  (robot 1 3 2 farolas far 3 5 2 far 5 5 2 prof 14)
f-1064  (robot 2 2 2 farolas far 3 5 2 far 5 5 2 prof 14)
f-1065  (robot 3 3 2 farolas far 3 5 2 far 5 5 2 prof 14)
f-1066  (robot 2 4 2 farolas far 3 5 2 far 5 5 2 prof 14)
f-1067  (robot 1 2 1 farolas far 3 5 2 far 5 5 2 prof 14)
f-1068  (robot 1 4 1 farolas far 3 5 2 far 5 5 2 prof 14)
f-1069  (robot 2 1 1 farolas far 3 5 2 far 5 5 2 prof 14)
f-1070  (robot 3 2 1 farolas far 3 5 2 far 5 5 2 prof 14)
f-1071  (robot 4 3 1 farolas far 3 5 2 far 5 5 2 prof 14)
f-1072  (robot 3 4 1 farolas far 3 5 2 far 5 5 2 prof 14)
f-1073  (robot 2 5 1 farolas far 3 5 2 far 5 5 2 prof 14)
f-1074  (robot 4 1 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1075  (robot 4 2 0 farolas far 5 5 2 prof 14)
f-1076  (robot 4 4 0 farolas far 5 5 2 prof 14)
f-1077  (robot 5 4 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1078  (robot 4 5 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1079  (robot 1 1 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1080  (robot 1 5 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1081  (robot 3 1 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1082  (robot 4 2 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1083  (robot 4 4 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1084  (robot 3 5 3 farolas far 4 3 3 far 5 5 2 prof 14)
f-1085  (robot 4 1 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1086  (robot 5 4 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1087  (robot 4 5 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1088  (robot 5 1 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-1089  (robot 1 3 1 farolas far 3 5 2 far 4 3 3 prof 14)
f-1090  (robot 1 5 1 farolas far 3 5 2 far 4 3 3 prof 14)
f-1091  (robot 2 3 3 farolas far 3 5 2 far 4 3 3 prof 14)
f-1092  (robot 2 3 2 farolas far 3 5 2 far 4 3 3 prof 14)
f-1093  (robot 2 2 1 farolas far 3 5 2 far 4 3 3 prof 14)
f-1094  (robot 1 3 1 farolas far 3 5 2 far 5 5 2 prof 14)
f-1095  (robot 2 2 1 farolas far 3 5 2 far 5 5 2 prof 14)
f-1096  (robot 3 3 1 farolas far 3 5 2 far 5 5 2 prof 14)
f-1097  (robot 2 4 1 farolas far 3 5 2 far 5 5 2 prof 14)
f-1098  (robot 1 1 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1099  (robot 1 5 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1100  (robot 3 1 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1101  (robot 4 2 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1102  (robot 4 4 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1103  (robot 3 5 2 farolas far 4 3 3 far 5 5 2 prof 14)
f-1104  (robot 4 1 1 farolas far 4 3 3 far 5 5 2 prof 14)
f-1105  (robot 1 4 1 farolas far 3 5 2 far 4 3 3 prof 14)
f-1106  (robot 2 3 1 farolas far 3 5 2 far 4 3 3 prof 14)
f-1107  (robot 2 5 1 farolas far 3 5 2 far 4 3 3 prof 14)
f-1108  (robot 5 1 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-1109  (robot 1 3 0 farolas far 3 5 2 far 4 3 3 prof 14)
f-1110  (robot 1 5 0 farolas far 3 5 2 far 4 3 3 prof 14)
f-1111  (robot 2 2 0 farolas far 3 5 2 far 4 3 3 prof 14)
f-1112  (robot 4 1 0 farolas far 4 3 3 far 5 5 2 prof 14)
f-1113  (robot 1 4 0 farolas far 3 5 2 far 4 3 3 prof 14)
f-1114  (robot 2 3 0 farolas far 3 5 2 far 4 3 3 prof 14)
f-1115  (robot 2 5 0 farolas far 3 5 2 far 4 3 3 prof 14)
f-1116  (robot 2 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1117  (robot 1 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1118  (robot 4 1 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1119  (robot 3 2 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1120  (robot 2 3 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1121  (robot 1 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1122  (robot 1 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1123  (robot 2 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1124  (robot 2 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1125  (robot 2 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1126  (robot 1 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1127  (robot 2 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1128  (robot 2 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1129  (robot 2 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1130  (robot 1 3 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1131  (robot 2 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1132  (robot 2 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1133  (robot 3 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1134  (robot 2 5 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1135  (robot 1 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1136  (robot 1 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1137  (robot 3 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1138  (robot 4 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1139  (robot 3 4 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1140  (robot 4 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1141  (robot 2 5 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1142  (robot 1 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1143  (robot 1 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1144  (robot 2 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1145  (robot 3 2 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1146  (robot 3 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1147  (robot 2 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1148  (robot 1 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1149  (robot 1 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1150  (robot 3 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1151  (robot 4 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1152  (robot 3 4 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1153  (robot 4 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1154  (robot 2 5 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1155  (robot 1 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1156  (robot 1 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1157  (robot 2 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1158  (robot 3 2 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1159  (robot 3 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1160  (robot 2 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1161  (robot 1 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1162  (robot 1 5 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1163  (robot 3 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1164  (robot 4 2 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1165  (robot 4 4 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1166  (robot 5 4 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1167  (robot 4 5 0 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1168  (robot 5 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1169  (robot 3 2 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1170  (robot 4 1 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1171  (robot 4 3 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1172  (robot 1 4 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1173  (robot 2 3 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1174  (robot 5 4 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1175  (robot 4 5 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1176  (robot 3 4 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1177  (robot 5 4 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1178  (robot 4 5 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1179  (robot 5 4 1 farolas far 3 5 2 far 4 3 3 prof 15)
f-1180  (robot 5 3 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1181  (robot 4 5 1 farolas far 3 5 2 far 4 3 3 prof 15)
f-1182  (robot 4 1 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1183  (robot 4 2 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1184  (robot 2 4 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1185  (robot 4 4 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1186  (robot 3 5 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1187  (robot 4 4 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1188  (robot 5 4 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1189  (robot 4 5 3 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1190  (robot 1 5 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1191  (robot 5 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1192  (robot 1 4 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1193  (robot 2 3 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1194  (robot 5 4 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1195  (robot 4 5 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1196  (robot 5 4 0 farolas far 3 5 2 far 4 3 3 prof 15)
f-1197  (robot 5 3 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1198  (robot 4 5 0 farolas far 3 5 2 far 4 3 3 prof 15)
f-1199  (robot 4 1 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1200  (robot 2 4 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1201  (robot 4 4 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1202  (robot 3 5 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1203  (robot 5 4 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1204  (robot 4 5 2 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1205  (robot 1 5 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1206  (robot 5 1 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1207  (robot 5 3 1 farolas far 3 5 2 far 4 3 3 far 5 5 2 prof 15)
f-1208  (robot 1 2 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1209  (robot 2 1 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1210  (robot 2 3 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1211  (robot 1 2 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1212  (robot 1 3 3 farolas far 4 3 3 far 5 5 2 prof 15)
f-1213  (robot 2 2 3 farolas far 4 3 3 far 5 5 2 prof 15)
f-1214  (robot 2 4 3 farolas far 4 3 3 far 5 5 2 prof 15)
f-1215  (robot 2 3 3 farolas far 4 3 3 far 5 5 2 prof 15)
f-1216  (robot 1 3 2 farolas far 4 3 3 far 5 5 2 prof 15)
f-1217  (robot 2 2 2 farolas far 4 3 3 far 5 5 2 prof 15)
f-1218  (robot 2 4 2 farolas far 4 3 3 far 5 5 2 prof 15)
f-1219  (robot 2 1 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1220  (robot 3 2 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1221  (robot 1 4 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1222  (robot 2 5 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1223  (robot 3 4 1 farolas far 3 5 2 far 4 3 3 prof 15)
f-1224  (robot 2 2 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1225  (robot 3 1 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1226  (robot 3 3 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1227  (robot 5 1 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1228  (robot 5 3 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1229  (robot 1 3 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1230  (robot 2 3 2 farolas far 4 3 3 far 5 5 2 prof 15)
f-1231  (robot 2 2 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1232  (robot 5 3 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1233  (robot 2 4 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1234  (robot 4 4 1 farolas far 3 5 2 far 4 3 3 prof 15)
f-1235  (robot 5 3 1 farolas far 3 5 2 far 4 3 3 prof 15)
f-1236  (robot 5 5 1 farolas far 3 5 2 far 4 3 3 prof 15)
f-1237  (robot 1 2 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1238  (robot 2 1 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1239  (robot 3 2 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1240  (robot 3 4 0 farolas far 3 5 2 far 4 3 3 prof 15)
f-1241  (robot 1 3 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1242  (robot 2 2 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1243  (robot 5 3 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1244  (robot 4 4 0 farolas far 3 5 2 far 4 3 3 prof 15)
f-1245  (robot 5 3 0 farolas far 3 5 2 far 4 3 3 prof 15)
f-1246  (robot 5 5 0 farolas far 3 5 2 far 4 3 3 prof 15)
f-1247  (robot 1 3 3 farolas far 3 5 2 far 5 5 2 prof 15)
f-1248  (robot 2 2 3 farolas far 3 5 2 far 5 5 2 prof 15)
f-1249  (robot 3 3 3 farolas far 3 5 2 far 5 5 2 prof 15)
f-1250  (robot 2 4 3 farolas far 3 5 2 far 5 5 2 prof 15)
f-1251  (robot 2 3 3 farolas far 3 5 2 far 5 5 2 prof 15)
f-1252  (robot 1 3 2 farolas far 3 5 2 far 5 5 2 prof 15)
f-1253  (robot 2 2 2 farolas far 3 5 2 far 5 5 2 prof 15)
f-1254  (robot 3 3 2 farolas far 3 5 2 far 5 5 2 prof 15)
f-1255  (robot 2 4 2 farolas far 3 5 2 far 5 5 2 prof 15)
f-1256  (robot 2 3 2 farolas far 3 5 2 far 5 5 2 prof 15)
f-1257  (robot 1 3 1 farolas far 3 5 2 far 5 5 2 prof 15)
f-1258  (robot 2 2 1 farolas far 3 5 2 far 5 5 2 prof 15)
f-1259  (robot 3 3 1 farolas far 3 5 2 far 5 5 2 prof 15)
f-1260  (robot 2 4 1 farolas far 3 5 2 far 5 5 2 prof 15)
f-1261  (robot 1 1 3 farolas far 4 3 3 far 5 5 2 prof 15)
f-1262  (robot 1 5 3 farolas far 4 3 3 far 5 5 2 prof 15)
f-1263  (robot 3 1 3 farolas far 4 3 3 far 5 5 2 prof 15)
f-1264  (robot 4 2 3 farolas far 4 3 3 far 5 5 2 prof 15)
f-1265  (robot 4 4 3 farolas far 4 3 3 far 5 5 2 prof 15)
f-1266  (robot 3 5 3 farolas far 4 3 3 far 5 5 2 prof 15)
f-1267  (robot 1 2 3 farolas far 4 3 3 far 5 5 2 prof 15)
f-1268  (robot 1 4 3 farolas far 4 3 3 far 5 5 2 prof 15)
f-1269  (robot 2 1 3 farolas far 4 3 3 far 5 5 2 prof 15)
f-1270  (robot 3 2 3 farolas far 4 3 3 far 5 5 2 prof 15)
f-1271  (robot 3 4 3 farolas far 4 3 3 far 5 5 2 prof 15)
f-1272  (robot 2 5 3 farolas far 4 3 3 far 5 5 2 prof 15)
f-1273  (robot 1 1 2 farolas far 4 3 3 far 5 5 2 prof 15)
f-1274  (robot 1 5 2 farolas far 4 3 3 far 5 5 2 prof 15)
f-1275  (robot 3 1 2 farolas far 4 3 3 far 5 5 2 prof 15)
f-1276  (robot 4 2 2 farolas far 4 3 3 far 5 5 2 prof 15)
f-1277  (robot 4 4 2 farolas far 4 3 3 far 5 5 2 prof 15)
f-1278  (robot 3 5 2 farolas far 4 3 3 far 5 5 2 prof 15)
f-1279  (robot 4 1 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1280  (robot 1 4 1 farolas far 3 5 2 far 4 3 3 prof 15)
f-1281  (robot 2 3 1 farolas far 3 5 2 far 4 3 3 prof 15)
f-1282  (robot 2 5 1 farolas far 3 5 2 far 4 3 3 prof 15)
f-1283  (robot 1 1 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1284  (robot 1 3 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1285  (robot 2 3 1 farolas far 3 5 2 far 5 5 2 prof 15)
f-1286  (robot 1 1 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1287  (robot 1 2 2 farolas far 4 3 3 far 5 5 2 prof 15)
f-1288  (robot 1 4 2 farolas far 4 3 3 far 5 5 2 prof 15)
f-1289  (robot 2 1 2 farolas far 4 3 3 far 5 5 2 prof 15)
f-1290  (robot 3 2 2 farolas far 4 3 3 far 5 5 2 prof 15)
f-1291  (robot 3 4 2 farolas far 4 3 3 far 5 5 2 prof 15)
f-1292  (robot 2 5 2 farolas far 4 3 3 far 5 5 2 prof 15)
f-1293  (robot 3 1 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1294  (robot 4 2 1 farolas far 4 3 3 far 5 5 2 prof 15)
f-1295  (robot 1 5 0 farolas far 3 5 2 far 5 5 2 prof 15)
f-1296  (robot 2 4 1 farolas far 3 5 2 far 4 3 3 prof 15)
f-1297  (robot 4 1 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1298  (robot 1 4 0 farolas far 3 5 2 far 4 3 3 prof 15)
f-1299  (robot 2 3 0 farolas far 3 5 2 far 4 3 3 prof 15)
f-1300  (robot 2 5 0 farolas far 3 5 2 far 4 3 3 prof 15)
f-1301  (robot 1 1 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1302  (robot 3 1 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1303  (robot 4 2 0 farolas far 4 3 3 far 5 5 2 prof 15)
f-1304  (robot 2 4 0 farolas far 3 5 2 far 4 3 3 prof 15)
f-1305  (robot 1 1 3 farolas far 3 5 2 far 5 5 2 prof 15)
